Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
24-01-2022,20:22,24-01-2022,NETFLIX INC,US64110L1061,Valuta Creditering,1.1298,USD,374.58,USD,0.00,2292ac7d-6266-4595-add9-0983ee2134d2
24-01-2022,20:22,24-01-2022,NETFLIX INC,US64110L1061,Valuta Debitering,,EUR,-331.55,EUR,108.33,2292ac7d-6266-4595-add9-0983ee2134d2
24-01-2022,20:22,24-01-2022,NETFLIX INC,US64110L1061,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-0.50,EUR,439.88,2292ac7d-6266-4595-add9-0983ee2134d2
24-01-2022,20:22,24-01-2022,NETFLIX INC,US64110L1061,"Koop 1 @ 374,58 USD",,USD,-374.58,USD,-374.58,2292ac7d-6266-4595-add9-0983ee2134d2
24-01-2022,20:16,24-01-2022,,,Reservation iDEAL / Sofort Deposit,,EUR,150.00,EUR,440.38,
24-01-2022,19:33,24-01-2022,,,Reservation iDEAL / Sofort Deposit,,EUR,200.00,EUR,290.38,
05-01-2022,11:53,04-01-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,03 EUR",,,,EUR,90.38,
05-01-2022,11:53,04-01-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.03,EUR,88.35,
04-01-2022,07:41,03-01-2022,,,Valuta Creditering,,EUR,2.03,EUR,90.38,
04-01-2022,07:41,03-01-2022,,,Valuta Debitering,1.1325,USD,-2.31,USD,0.00,
04-01-2022,02:49,03-01-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,74 EUR",,,,EUR,88.35,
04-01-2022,02:49,03-01-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.74,EUR,87.61,
03-01-2022,08:24,31-12-2021,,,DEGIRO Corporate Action Kosten,,USD,-0.14,USD,2.31,
03-01-2022,08:24,31-12-2021,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividend,,USD,1.37,USD,2.45,
03-01-2022,07:48,31-12-2021,,,DEGIRO Corporate Action Kosten,,USD,-0.12,USD,1.08,
03-01-2022,07:48,31-12-2021,ISHARES MSCI WORLD UCITS ETF USD (DIST),IE00B0M62Q58,Dividend,,USD,1.20,USD,1.20,
31-12-2021,07:55,30-12-2021,,,Valuta Creditering,,EUR,0.74,EUR,88.35,
31-12-2021,07:55,30-12-2021,,,Valuta Debitering,1.1355,USD,-0.85,USD,0.00,
30-12-2021,23:00,31-12-2021,,,Flatex Interest,,EUR,-0.30,EUR,87.61,
30-12-2021,09:04,29-12-2021,,,DEGIRO Corporate Action Kosten,,USD,-0.10,USD,0.85,
30-12-2021,09:04,29-12-2021,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Dividend,,USD,0.95,USD,0.95,
24-11-2021,10:46,23-11-2021,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 131,99 EUR",,,,EUR,87.91,
24-11-2021,10:46,23-11-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,131.99,EUR,219.90,
23-11-2021,16:28,23-11-2021,COPART,US2172041061,Valuta Creditering,1.1236,USD,148.30,USD,0.00,8618fed9-c46a-4089-98f3-5c147be17a0e
23-11-2021,16:28,23-11-2021,COPART,US2172041061,Valuta Debitering,,EUR,-131.99,EUR,87.91,8618fed9-c46a-4089-98f3-5c147be17a0e
23-11-2021,16:28,23-11-2021,COPART,US2172041061,"Koop 1 @ 148,3 USD",,USD,-148.30,USD,-148.30,8618fed9-c46a-4089-98f3-5c147be17a0e
19-11-2021,10:16,18-11-2021,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 380,1 EUR",,,,EUR,219.90,
19-11-2021,10:16,18-11-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,380.10,EUR,600.00,
18-11-2021,10:33,17-11-2021,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 120,08 EUR",,,,EUR,219.90,
18-11-2021,10:33,17-11-2021,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,120.08,EUR,339.98,
18-11-2021,09:41,17-11-2021,,,iDEAL Deposit,,EUR,200.00,EUR,219.90,
18-11-2021,09:41,17-11-2021,,,Reservation iDEAL / Sofort Deposit,,EUR,-200.00,EUR,19.90,
18-11-2021,09:40,17-11-2021,,,iDEAL Deposit,,EUR,400.00,EUR,219.90,
18-11-2021,09:40,17-11-2021,,,Reservation iDEAL / Sofort Deposit,,EUR,-400.00,EUR,-180.10,
17-11-2021,13:47,17-11-2021,ALFEN NV,NL0012817175,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-0.08,EUR,219.90,e71b6c36-294d-4735-bf58-c36723e560bf
17-11-2021,13:47,17-11-2021,ALFEN NV,NL0012817175,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,219.98,e71b6c36-294d-4735-bf58-c36723e560bf
17-11-2021,13:47,17-11-2021,ALFEN NV,NL0012817175,"Koop 3 @ 84,65 EUR",,EUR,-253.95,EUR,221.98,e71b6c36-294d-4735-bf58-c36723e560bf
17-11-2021,12:11,17-11-2021,WISDOMTREE CYBERSECURITY UCITS ETF,IE00BLPK3577,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-0.17,EUR,475.93,aa8b421d-5fcc-42cc-ba41-abd424a8583c
