Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
04-02-2025,19:21,04-02-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,01 EUR",,,,EUR,409.10,
04-02-2025,19:21,04-02-2025,,,Degiro Cash Sweep Transfer,,EUR,0.01,EUR,409.11,
04-02-2025,12:41,03-02-2025,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 370,13 EUR",,,,EUR,409.10,
04-02-2025,12:41,03-02-2025,,,Degiro Cash Sweep Transfer,,EUR,-370.13,EUR,38.97,
04-02-2025,06:54,03-02-2025,,,Valuta Debitering,,EUR,-0.01,EUR,409.10,
04-02-2025,06:54,03-02-2025,,,Valuta Creditering,1.0319,USD,0.01,USD,0.00,
03-02-2025,20:10,03-02-2025,TESLA,US88160R1014,Valuta Debitering,1.0309,USD,-383.62,USD,-0.01,5ff80998-9611-4d5c-b78b-6eba067b8940
03-02-2025,20:10,03-02-2025,TESLA,US88160R1014,Valuta Creditering,,EUR,372.13,EUR,409.11,5ff80998-9611-4d5c-b78b-6eba067b8940
03-02-2025,20:10,03-02-2025,TESLA,US88160R1014,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,36.98,5ff80998-9611-4d5c-b78b-6eba067b8940
03-02-2025,20:10,03-02-2025,TESLA,US88160R1014,"Verkoop 1 @ 383,615 USD",,USD,383.62,USD,383.61,5ff80998-9611-4d5c-b78b-6eba067b8940
30-01-2025,02:52,29-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 611,02 EUR",,,,EUR,38.98,
30-01-2025,02:52,29-01-2025,,,Degiro Cash Sweep Transfer,,EUR,611.02,EUR,650.00,
29-01-2025,06:50,28-01-2025,,,iDEAL Deposit,,EUR,650.00,EUR,38.98,
29-01-2025,06:50,28-01-2025,,,Reservation iDEAL / Sofort Deposit,,EUR,-650.00,EUR,-611.02,
28-01-2025,06:52,27-01-2025,,,Valuta Creditering,,EUR,0.01,EUR,38.98,
28-01-2025,06:52,27-01-2025,,,Valuta Debitering,1.0518,USD,-0.01,USD,0.00,
28-01-2025,02:01,27-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 10,37 EUR",,,,EUR,38.97,
28-01-2025,02:01,27-01-2025,,,Degiro Cash Sweep Transfer,,EUR,10.37,EUR,49.34,
27-01-2025,17:23,27-01-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,38.97,355d4c27-638c-4247-bc19-6e66a9870ff5
